 	gtzm,gxzm
뙙	hhak·匸匸丨一〢一ㅂ
뙚	hhko·匸匸丨一〢一ㅂ人
뙛	hhao·匸匸丨一〢一人
뙜	hhao·匸匸丨一〢一ㅆ
뙝	hhaj·匸匸丨一〢一㇣
뙞	hhaa·匸匸丨一〢一ㅈ
뙟	hhso·匸匸丨一〢一亠人
뙠	hhxa·匸匸丨一〢一𠃍一
뙡	hhah·匸匸丨一〢一ㅌ
뙢	hhaa·匸匸丨一〢一ㅍ
뙣	hhas·匸匸丨一〢一ㅎ
뙤	hhai·匸匸丨一丨
뙥	hhix·匸匸丨一丨𠃍
뙦	hhxx·匸匸丨一丨𠃍𠃍
뙧	hhxo·匸匸丨一丨𠃍人
뙨	hhiz·匸匸丨一丨𠃊
뙩	hhza·匸匸丨一丨𠃊ㅈ
뙪	hhzs·匸匸丨一丨𠃊ㅎ
뙫	hhih·匸匸丨一丨匸
뙬	hhiy·匸匸丨一丨己
뙭	hhyx·匸匸丨一丨己𠃍
뙮	hhyj·匸匸丨一丨己口
뙯	hhyk·匸匸丨一丨己ㅂ
뙰	hhyo·匸匸丨一丨己人
뙱	hhyh·匸匸丨一丨己ㅌ
뙲	hhya·匸匸丨一丨己ㅍ
뙳	hhys·匸匸丨一丨己ㅎ
뙴	hhij·匸匸丨一丨口
뙵	hhik·匸匸丨一丨ㅂ
뙶	hhko·匸匸丨一丨ㅂ人
뙷	hhio·匸匸丨一丨人
뙸	hhio·匸匸丨一丨ㅆ
뙹	hhij·匸匸丨一丨㇣
뙺	hhia·匸匸丨一丨ㅈ
뙻	hhso·匸匸丨一丨亠人
뙼	hhxa·匸匸丨一丨𠃍一
뙽	hhih·匸匸丨一丨ㅌ
뙾	hhia·匸匸丨一丨ㅍ
뙿	hhis·匸匸丨一丨ㅎ
뚀	hhka·匸匸〢一
뚁	hhax·匸匸〢一𠃍
뚂	hhxx·匸匸〢一𠃍𠃍
뚃	hhxo·匸匸〢一𠃍人
뚄	hhaz·匸匸〢一𠃊
뚅	hhza·匸匸〢一𠃊ㅈ
뚆	hhzs·匸匸〢一𠃊ㅎ
뚇	hhah·匸匸〢一匸
뚈	hhay·匸匸〢一己
뚉	hhyx·匸匸〢一己𠃍
뚊	hhyj·匸匸〢一己口
뚋	hhyk·匸匸〢一己ㅂ
뚌	hhyo·匸匸〢一己人
뚍	hhyh·匸匸〢一己ㅌ
뚎	hhya·匸匸〢一己ㅍ
뚏	hhys·匸匸〢一己ㅎ
뚐	hhaj·匸匸〢一口
뚑	hhak·匸匸〢一ㅂ
뚒	hhko·匸匸〢一ㅂ人
뚓	hhao·匸匸〢一人
뚔	hhao·匸匸〢一ㅆ
뚕	hhaj·匸匸〢一㇣
뚖	hhaa·匸匸〢一ㅈ
뚗	hhso·匸匸〢一亠人
뚘	hhxa·匸匸〢一𠃍一
뚙	hhah·匸匸〢一ㅌ
뚚	hhaa·匸匸〢一ㅍ
뚛	hhas·匸匸〢一ㅎ
뚜	hhai·匸匸丅
뚝	hhax·匸匸丅𠃍
뚞	hhxx·匸匸丅𠃍𠃍
뚟	hhxo·匸匸丅𠃍人
뚠	hhaz·匸匸丅𠃊
뚡	hhza·匸匸丅𠃊ㅈ
뚢	hhzs·匸匸丅𠃊ㅎ
뚣	hhah·匸匸丅匸
뚤	hhay·匸匸丅己
뚥	hhyx·匸匸丅己𠃍
뚦	hhyj·匸匸丅己口
뚧	hhyk·匸匸丅己ㅂ
뚨	hhyo·匸匸丅己人
뚩	hhyh·匸匸丅己ㅌ
뚪	hhya·匸匸丅己ㅍ
뚫	hhys·匸匸丅己ㅎ
뚬	hhaj·匸匸丅口
뚭	hhak·匸匸丅ㅂ
뚮	hhko·匸匸丅ㅂ人
뚯	hhao·匸匸丅人
뚰	hhao·匸匸丅ㅆ
뚱	hhaj·匸匸丅㇣
뚲	hhaa·匸匸丅ㅈ
뚳	hhso·匸匸丅亠人
뚴	hhxa·匸匸丅𠃍一
뚵	hhah·匸匸丅ㅌ
뚶	hhaa·匸匸丅ㅍ
뚷	hhas·匸匸丅ㅎ
뚸	hhai·匸匸丅一丨
뚹	hhix·匸匸丅一丨𠃍
뚺	hhxx·匸匸丅一丨𠃍𠃍
뚻	hhxo·匸匸丅一丨𠃍人
뚼	hhiz·匸匸丅一丨𠃊
뚽	hhza·匸匸丅一丨𠃊ㅈ
뚾	hhzs·匸匸丅一丨𠃊ㅎ
뚿	hhih·匸匸丅一丨匸
뛀	hhiy·匸匸丅一丨己
뛁	hhyx·匸匸丅一丨己𠃍
뛂	hhyj·匸匸丅一丨己口
뛃	hhyk·匸匸丅一丨己ㅂ
뛄	hhyo·匸匸丅一丨己人
뛅	hhyh·匸匸丅一丨己ㅌ
뛆	hhya·匸匸丅一丨己ㅍ
뛇	hhys·匸匸丅一丨己ㅎ
뛈	hhij·匸匸丅一丨口
뛉	hhik·匸匸丅一丨ㅂ
뛊	hhko·匸匸丅一丨ㅂ人
뛋	hhio·匸匸丅一丨人
뛌	hhio·匸匸丅一丨ㅆ
뛍	hhij·匸匸丅一丨㇣
뛎	hhia·匸匸丅一丨ㅈ
뛏	hhso·匸匸丅一丨亠人
뛐	hhxa·匸匸丅一丨𠃍一
뛑	hhih·匸匸丅一丨ㅌ
뛒	hhia·匸匸丅一丨ㅍ
뛓	hhis·匸匸丅一丨ㅎ
뛔	hhak·匸匸丅一〢
뛕	hhkx·匸匸丅一〢𠃍
뛖	hhxx·匸匸丅一〢𠃍𠃍
뛗	hhxo·匸匸丅一〢𠃍人
뛘	hhkz·匸匸丅一〢𠃊
뛙	hhza·匸匸丅一〢𠃊ㅈ
뛚	hhzs·匸匸丅一〢𠃊ㅎ
뛛	hhkh·匸匸丅一〢匸
뛜	hhky·匸匸丅一〢己
뛝	hhyx·匸匸丅一〢己𠃍
뛞	hhyj·匸匸丅一〢己口
뛟	hhyk·匸匸丅一〢己ㅂ
뛠	hhyo·匸匸丅一〢己人
뛡	hhyh·匸匸丅一〢己ㅌ
뛢	hhya·匸匸丅一〢己ㅍ
뛣	hhys·匸匸丅一〢己ㅎ
뛤	hhkj·匸匸丅一〢口
뛥	hhkk·匸匸丅一〢ㅂ
뛦	hhko·匸匸丅一〢ㅂ人
뛧	hhko·匸匸丅一〢人
뛨	hhko·匸匸丅一〢ㅆ
뛩	hhkj·匸匸丅一〢㇣
뛪	hhka·匸匸丅一〢ㅈ
뛫	hhso·匸匸丅一〢亠人
뛬	hhxa·匸匸丅一〢𠃍一
뛭	hhkh·匸匸丅一〢ㅌ
뛮	hhka·匸匸丅一〢ㅍ
뛯	hhks·匸匸丅一〢ㅎ
뛰	hhai·匸匸丅丨
뛱	hhix·匸匸丅丨𠃍
뛲	hhxx·匸匸丅丨𠃍𠃍
뛳	hhxo·匸匸丅丨𠃍人
뛴	hhiz·匸匸丅丨𠃊
뛵	hhza·匸匸丅丨𠃊ㅈ
뛶	hhzs·匸匸丅丨𠃊ㅎ
뛷	hhih·匸匸丅丨匸
뛸	hhiy·匸匸丅丨己
뛹	hhyx·匸匸丅丨己𠃍
뛺	hhyj·匸匸丅丨己口
뛻	hhyk·匸匸丅丨己ㅂ
뛼	hhyo·匸匸丅丨己人
뛽	hhyh·匸匸丅丨己ㅌ
뛾	hhya·匸匸丅丨己ㅍ
뛿	hhys·匸匸丅丨己ㅎ
뜀	hhij·匸匸丅丨口
뜁	hhik·匸匸丅丨ㅂ
뜂	hhko·匸匸丅丨ㅂ人
뜃	hhio·匸匸丅丨人
뜄	hhio·匸匸丅丨ㅆ
뜅	hhij·匸匸丅丨㇣
뜆	hhia·匸匸丅丨ㅈ
뜇	hhso·匸匸丅丨亠人
뜈	hhxa·匸匸丅丨𠃍一
뜉	hhih·匸匸丅丨ㅌ
뜊	hhia·匸匸丅丨ㅍ
뜋	hhis·匸匸丅丨ㅎ
뜌	hhak·匸匸一〢
뜍	hhkx·匸匸一〢𠃍
뜎	hhxx·匸匸一〢𠃍𠃍
뜏	hhxo·匸匸一〢𠃍人
뜐	hhkz·匸匸一〢𠃊
뜑	hhza·匸匸一〢𠃊ㅈ
뜒	hhzs·匸匸一〢𠃊ㅎ
뜓	hhkh·匸匸一〢匸
뜔	hhky·匸匸一〢己
뜕	hhyx·匸匸一〢己𠃍
뜖	hhyj·匸匸一〢己口
뜗	hhyk·匸匸一〢己ㅂ
뜘	hhyo·匸匸一〢己人
뜙	hhyh·匸匸一〢己ㅌ
뜚	hhya·匸匸一〢己ㅍ
뜛	hhys·匸匸一〢己ㅎ
뜜	hhkj·匸匸一〢口
뜝	hhkk·匸匸一〢ㅂ
뜞	hhko·匸匸一〢ㅂ人
뜟	hhko·匸匸一〢人
뜠	hhko·匸匸一〢ㅆ
뜡	hhkj·匸匸一〢㇣
뜢	hhka·匸匸一〢ㅈ
뜣	hhso·匸匸一〢亠人
뜤	hhxa·匸匸一〢𠃍一
뜥	hhkh·匸匸一〢ㅌ
뜦	hhka·匸匸一〢ㅍ
뜧	hhks·匸匸一〢ㅎ
뜨	hha·匸匸一
뜩	hhax·匸匸一𠃍
뜪	hhxx·匸匸一𠃍𠃍
뜫	hhxo·匸匸一𠃍人
뜬	hhaz·匸匸一𠃊
뜭	hhza·匸匸一𠃊ㅈ
뜮	hhzs·匸匸一𠃊ㅎ
뜯	hhah·匸匸一匸
뜰	hhay·匸匸一己
뜱	hhyx·匸匸一己𠃍
뜲	hhyj·匸匸一己口
뜳	hhyk·匸匸一己ㅂ
뜴	hhyo·匸匸一己人
뜵	hhyh·匸匸一己ㅌ
뜶	hhya·匸匸一己ㅍ
뜷	hhys·匸匸一己ㅎ
뜸	hhaj·匸匸一口
뜹	hhak·匸匸一ㅂ
뜺	hhko·匸匸一ㅂ人
뜻	hhao·匸匸一人
뜼	hhao·匸匸一ㅆ
뜽	hhaj·匸匸一㇣
뜾	hhaa·匸匸一ㅈ
뜿	hhso·匸匸一亠人
띀	hhxa·匸匸一𠃍一
띁	hhah·匸匸一ㅌ
띂	hhaa·匸匸一ㅍ
띃	hhas·匸匸一ㅎ
띄	hhai·匸匸一丨
띅	hhix·匸匸一丨𠃍
띆	hhxx·匸匸一丨𠃍𠃍
띇	hhxo·匸匸一丨𠃍人
띈	hhiz·匸匸一丨𠃊
띉	hhza·匸匸一丨𠃊ㅈ
띊	hhzs·匸匸一丨𠃊ㅎ
띋	hhih·匸匸一丨匸
띌	hhiy·匸匸一丨己
띍	hhyx·匸匸一丨己𠃍
띎	hhyj·匸匸一丨己口
띏	hhyk·匸匸一丨己ㅂ
띐	hhyo·匸匸一丨己人
띑	hhyh·匸匸一丨己ㅌ
띒	hhya·匸匸一丨己ㅍ
띓	hhys·匸匸一丨己ㅎ
띔	hhij·匸匸一丨口
띕	hhik·匸匸一丨ㅂ
띖	hhko·匸匸一丨ㅂ人
띗	hhio·匸匸一丨人
띘	hhio·匸匸一丨ㅆ
띙	hhij·匸匸一丨㇣
띚	hhia·匸匸一丨ㅈ
띛	hhso·匸匸一丨亠人
띜	hhxa·匸匸一丨𠃍一
띝	hhih·匸匸一丨ㅌ
띞	hhia·匸匸一丨ㅍ
띟	hhis·匸匸一丨ㅎ
띠	hhi·匸匸丨
띡	hhix·匸匸丨𠃍
띢	hhxx·匸匸丨𠃍𠃍
띣	hhxo·匸匸丨𠃍人
띤	hhiz·匸匸丨𠃊
띥	hhza·匸匸丨𠃊ㅈ
띦	hhzs·匸匸丨𠃊ㅎ
띧	hhih·匸匸丨匸
띨	hhiy·匸匸丨己
띩	hhyx·匸匸丨己𠃍
띪	hhyj·匸匸丨己口
띫	hhyk·匸匸丨己ㅂ
띬	hhyo·匸匸丨己人
띭	hhyh·匸匸丨己ㅌ
띮	hhya·匸匸丨己ㅍ
띯	hhys·匸匸丨己ㅎ
띰	hhij·匸匸丨口
띱	hhik·匸匸丨ㅂ
띲	hhko·匸匸丨ㅂ人
띳	hhio·匸匸丨人
띴	hhio·匸匸丨ㅆ
띵	hhij·匸匸丨㇣
띶	hhia·匸匸丨ㅈ
띷	hhso·匸匸丨亠人
띸	hhxa·匸匸丨𠃍一
띹	hhih·匸匸丨ㅌ
띺	hhia·匸匸丨ㅍ
띻	hhis·匸匸丨ㅎ
라	yyid·己⺊
락	yyix·己⺊𠃍
띾	yyxx·己⺊𠃍𠃍
띿	yyxo·己⺊𠃍人
란	yyiz·己⺊𠃊
랁	yyza·己⺊𠃊ㅈ
랂	yyzs·己⺊𠃊ㅎ
랃	yyih·己⺊匸
랄	yyiy·己⺊己
랅	yyyx·己⺊己𠃍
랆	yyyj·己⺊己口
랇	yyyk·己⺊己ㅂ
랈	yyyo·己⺊己人
랉	yyyh·己⺊己ㅌ
랊	yyya·己⺊己ㅍ
랋	yyys·己⺊己ㅎ
람	yyij·己⺊口
랍	yyik·己⺊ㅂ
랎	yyko·己⺊ㅂ人
랏	yyio·己⺊人
랐	yyio·己⺊ㅆ
랑	yyij·己⺊㇣
랒	yyia·己⺊ㅈ
랓	yyso·己⺊亠人
랔	yyxa·己⺊𠃍一
랕	yyih·己⺊ㅌ
랖	yyia·己⺊ㅍ
랗	yyis·己⺊ㅎ
래	yyka·己〢一
랙	yyax·己〢一𠃍
랚	yyxx·己〢一𠃍𠃍
랛	yyxo·己〢一𠃍人
랜	yyaz·己〢一𠃊
랝	yyza·己〢一𠃊ㅈ
랞	yyzs·己〢一𠃊ㅎ
랟	yyah·己〢一匸
랠	yyay·己〢一己
랡	yyyx·己〢一己𠃍
랢	yyyj·己〢一己口
랣	yyyk·己〢一己ㅂ
랤	yyyo·己〢一己人
랥	yyyh·己〢一己ㅌ
랦	yyya·己〢一己ㅍ
랧	yyys·己〢一己ㅎ
램	yyaj·己〢一口
랩	yyak·己〢一ㅂ
랪	yyko·己〢一ㅂ人
랫	yyao·己〢一人
랬	yyao·己〢一ㅆ
랭	yyaj·己〢一㇣
랮	yyaa·己〢一ㅈ
랯	yyso·己〢一亠人
랰	yyxa·己〢一𠃍一
랱	yyah·己〢一ㅌ
랲	yyaa·己〢一ㅍ
랳	yyas·己〢一ㅎ
랴	yyid·己ㅑ
략	yyix·己ㅑ𠃍
랶	yyxx·己ㅑ𠃍𠃍
랷	yyxo·己ㅑ𠃍人
랸	yyiz·己ㅑ𠃊
랹	yyza·己ㅑ𠃊ㅈ
랺	yyzs·己ㅑ𠃊ㅎ
랻	yyih·己ㅑ匸
랼	yyiy·己ㅑ己
랽	yyyx·己ㅑ己𠃍
랾	yyyj·己ㅑ己口
랿	yyyk·己ㅑ己ㅂ
럀	yyyo·己ㅑ己人
럁	yyyh·己ㅑ己ㅌ
럂	yyya·己ㅑ己ㅍ
럃	yyys·己ㅑ己ㅎ
럄	yyij·己ㅑ口
럅	yyik·己ㅑㅂ
럆	yyko·己ㅑㅂ人
럇	yyio·己ㅑ人
럈	yyio·己ㅑㅆ
량	yyij·己ㅑ㇣
럊	yyia·己ㅑㅈ
럋	yyso·己ㅑ亠人
럌	yyxa·己ㅑ𠃍一
럍	yyih·己ㅑㅌ
럎	yyia·己ㅑㅍ
럏	yyis·己ㅑㅎ
럐	yykd·己ㅒ
럑	yykx·己ㅒ𠃍
럒	yyxx·己ㅒ𠃍𠃍
럓	yyxo·己ㅒ𠃍人
럔	yykz·己ㅒ𠃊
럕	yyza·己ㅒ𠃊ㅈ
럖	yyzs·己ㅒ𠃊ㅎ
럗	yykh·己ㅒ匸
럘	yyky·己ㅒ己
럙	yyyx·己ㅒ己𠃍
럚	yyyj·己ㅒ己口
럛	yyyk·己ㅒ己ㅂ
럜	yyyo·己ㅒ己人
럝	yyyh·己ㅒ己ㅌ
럞	yyya·己ㅒ己ㅍ
럟	yyys·己ㅒ己ㅎ
럠	yykj·己ㅒ口
럡	yykk·己ㅒㅂ
럢	yyko·己ㅒㅂ人
럣	yyko·己ㅒ人
럤	yyko·己ㅒㅆ
럥	yykj·己ㅒ㇣
럦	yyka·己ㅒㅈ
럧	yyso·己ㅒ亠人
럨	yyxa·己ㅒ𠃍一
럩	yykh·己ㅒㅌ
럪	yyka·己ㅒㅍ
럫	yyks·己ㅒㅎ
러	yyai·己一丨
럭	yyix·己一丨𠃍
럮	yyxx·己一丨𠃍𠃍
럯	yyxo·己一丨𠃍人
런	yyiz·己一丨𠃊
럱	yyza·己一丨𠃊ㅈ
럲	yyzs·己一丨𠃊ㅎ
럳	yyih·己一丨匸
럴	yyiy·己一丨己
럵	yyyx·己一丨己𠃍
럶	yyyj·己一丨己口
럷	yyyk·己一丨己ㅂ
럸	yyyo·己一丨己人
럹	yyyh·己一丨己ㅌ
럺	yyya·己一丨己ㅍ
럻	yyys·己一丨己ㅎ
럼	yyij·己一丨口
럽	yyik·己一丨ㅂ
럾	yyko·己一丨ㅂ人
럿	yyio·己一丨人
렀	yyio·己一丨ㅆ
렁	yyij·己一丨㇣
렂	yyia·己一丨ㅈ
렃	yyso·己一丨亠人
렄	yyxa·己一丨𠃍一
렅	yyih·己一丨ㅌ
렆	yyia·己一丨ㅍ
렇	yyis·己一丨ㅎ
레	yyak·己一〢
렉	yykx·己一〢𠃍
렊	yyxx·己一〢𠃍𠃍
렋	yyxo·己一〢𠃍人
렌	yykz·己一〢𠃊
렍	yyza·己一〢𠃊ㅈ
렎	yyzs·己一〢𠃊ㅎ
렏	yykh·己一〢匸
렐	yyky·己一〢己
렑	yyyx·己一〢己𠃍
렒	yyyj·己一〢己口
렓	yyyk·己一〢己ㅂ
렔	yyyo·己一〢己人
렕	yyyh·己一〢己ㅌ
렖	yyya·己一〢己ㅍ
렗	yyys·己一〢己ㅎ
렘	yykj·己一〢口
렙	yykk·己一〢ㅂ
렚	yyko·己一〢ㅂ人
렛	yyko·己一〢人
렜	yyko·己一〢ㅆ
렝	yykj·己一〢㇣
렞	yyka·己一〢ㅈ
렟	yyso·己一〢亠人
렠	yyxa·己一〢𠃍一
렡	yykh·己一〢ㅌ
렢	yyka·己一〢ㅍ
렣	yyks·己一〢ㅎ
려	yybi·己二丨
력	yyix·己二丨𠃍
렦	yyxx·己二丨𠃍𠃍
렧	yyxo·己二丨𠃍人
련	yyiz·己二丨𠃊
렩	yyza·己二丨𠃊ㅈ
렪	yyzs·己二丨𠃊ㅎ
렫	yyih·己二丨匸
렬	yyiy·己二丨己
렭	yyyx·己二丨己𠃍
렮	yyyj·己二丨己口
렯	yyyk·己二丨己ㅂ
렰	yyyo·己二丨己人
렱	yyyh·己二丨己ㅌ
렲	yyya·己二丨己ㅍ
렳	yyys·己二丨己ㅎ
렴	yyij·己二丨口
렵	yyik·己二丨ㅂ
렶	yyko·己二丨ㅂ人
렷	yyio·己二丨人
렸	yyio·己二丨ㅆ
령	yyij·己二丨㇣
렺	yyia·己二丨ㅈ
렻	yyso·己二丨亠人
렼	yyxa·己二丨𠃍一
렽	yyih·己二丨ㅌ
렾	yyia·己二丨ㅍ
렿	yyis·己二丨ㅎ
례	yybk·己二〢
롁	yykx·己二〢𠃍
롂	yyxx·己二〢𠃍𠃍
롃	yyxo·己二〢𠃍人
롄	yykz·己二〢𠃊
롅	yyza·己二〢𠃊ㅈ
롆	yyzs·己二〢𠃊ㅎ
롇	yykh·己二〢匸
롈	yyky·己二〢己
롉	yyyx·己二〢己𠃍
롊	yyyj·己二〢己口
롋	yyyk·己二〢己ㅂ
롌	yyyo·己二〢己人
롍	yyyh·己二〢己ㅌ
롎	yyya·己二〢己ㅍ
롏	yyys·己二〢己ㅎ
롐	yykj·己二〢口
롑	yykk·己二〢ㅂ
롒	yyko·己二〢ㅂ人
롓	yyko·己二〢人
롔	yyko·己二〢ㅆ
롕	yykj·己二〢㇣
롖	yyka·己二〢ㅈ
롗	yyso·己二〢亠人
롘	yyxa·己二〢𠃍一
롙	yykh·己二〢ㅌ
롚	yyka·己二〢ㅍ
롛	yyks·己二〢ㅎ
로	yyia·己丨一
록	yyax·己丨一𠃍
롞	yyxx·己丨一𠃍𠃍
롟	yyxo·己丨一𠃍人
론	yyaz·己丨一𠃊
롡	yyza·己丨一𠃊ㅈ
롢	yyzs·己丨一𠃊ㅎ
롣	yyah·己丨一匸
롤	yyay·己丨一己
롥	yyyx·己丨一己𠃍
롦	yyyj·己丨一己口
롧	yyyk·己丨一己ㅂ
롨	yyyo·己丨一己人
롩	yyyh·己丨一己ㅌ
롪	yyya·己丨一己ㅍ
롫	yyys·己丨一己ㅎ
롬	yyaj·己丨一口
롭	yyak·己丨一ㅂ
롮	yyko·己丨一ㅂ人
롯	yyao·己丨一人
롰	yyao·己丨一ㅆ
롱	yyaj·己丨一㇣
롲	yyaa·己丨一ㅈ
롳	yyso·己丨一亠人
롴	yyxa·己丨一𠃍一
롵	yyah·己丨一ㅌ
롶	yyaa·己丨一ㅍ
롷	yyas·己丨一ㅎ
롸	yyai·己丨一⺊
롹	yyix·己丨一⺊𠃍
롺	yyxx·己丨一⺊𠃍𠃍
롻	yyxo·己丨一⺊𠃍人
롼	yyiz·己丨一⺊𠃊
롽	yyza·己丨一⺊𠃊ㅈ
롾	yyzs·己丨一⺊𠃊ㅎ
롿	yyih·己丨一⺊匸
뢀	yyiy·己丨一⺊己
뢁	yyyx·己丨一⺊己𠃍
뢂	yyyj·己丨一⺊己口
뢃	yyyk·己丨一⺊己ㅂ
뢄	yyyo·己丨一⺊己人
뢅	yyyh·己丨一⺊己ㅌ
뢆	yyya·己丨一⺊己ㅍ
뢇	yyys·己丨一⺊己ㅎ
뢈	yyij·己丨一⺊口
뢉	yyik·己丨一⺊ㅂ
뢊	yyko·己丨一⺊ㅂ人
뢋	yyio·己丨一⺊人
뢌	yyio·己丨一⺊ㅆ
뢍	yyij·己丨一⺊㇣
뢎	yyia·己丨一⺊ㅈ
뢏	yyso·己丨一⺊亠人
뢐	yyxa·己丨一⺊𠃍一
뢑	yyih·己丨一⺊ㅌ
뢒	yyia·己丨一⺊ㅍ
뢓	yyis·己丨一⺊ㅎ
뢔	yyka·己丨一〢一
뢕	yyax·己丨一〢一𠃍
뢖	yyxx·己丨一〢一𠃍𠃍
뢗	yyxo·己丨一〢一𠃍人
뢘	yyaz·己丨一〢一𠃊
뢙	yyza·己丨一〢一𠃊ㅈ
뢚	yyzs·己丨一〢一𠃊ㅎ
뢛	yyah·己丨一〢一匸
뢜	yyay·己丨一〢一己
뢝	yyyx·己丨一〢一己𠃍
뢞	yyyj·己丨一〢一己口
뢟	yyyk·己丨一〢一己ㅂ
뢠	yyyo·己丨一〢一己人
뢡	yyyh·己丨一〢一己ㅌ
뢢	yyya·己丨一〢一己ㅍ
뢣	yyys·己丨一〢一己ㅎ
뢤	yyaj·己丨一〢一口
뢥	yyak·己丨一〢一ㅂ
뢦	yyko·己丨一〢一ㅂ人
뢧	yyao·己丨一〢一人
뢨	yyao·己丨一〢一ㅆ
뢩	yyaj·己丨一〢一㇣
뢪	yyaa·己丨一〢一ㅈ
뢫	yyso·己丨一〢一亠人
뢬	yyxa·己丨一〢一𠃍一
뢭	yyah·己丨一〢一ㅌ
뢮	yyaa·己丨一〢一ㅍ
뢯	yyas·己丨一〢一ㅎ
뢰	yyai·己丨一丨
뢱	yyix·己丨一丨𠃍
뢲	yyxx·己丨一丨𠃍𠃍
뢳	yyxo·己丨一丨𠃍人
뢴	yyiz·己丨一丨𠃊
뢵	yyza·己丨一丨𠃊ㅈ
뢶	yyzs·己丨一丨𠃊ㅎ
뢷	yyih·己丨一丨匸
뢸	yyiy·己丨一丨己
뢹	yyyx·己丨一丨己𠃍
뢺	yyyj·己丨一丨己口
뢻	yyyk·己丨一丨己ㅂ
뢼	yyyo·己丨一丨己人
뢽	yyyh·己丨一丨己ㅌ
뢾	yyya·己丨一丨己ㅍ
뢿	yyys·己丨一丨己ㅎ
룀	yyij·己丨一丨口
룁	yyik·己丨一丨ㅂ
룂	yyko·己丨一丨ㅂ人
룃	yyio·己丨一丨人
룄	yyio·己丨一丨ㅆ
룅	yyij·己丨一丨㇣
룆	yyia·己丨一丨ㅈ
룇	yyso·己丨一丨亠人
룈	yyxa·己丨一丨𠃍一
룉	yyih·己丨一丨ㅌ
룊	yyia·己丨一丨ㅍ
룋	yyis·己丨一丨ㅎ
료	yyka·己〢一
룍	yyax·己〢一𠃍
룎	yyxx·己〢一𠃍𠃍
룏	yyxo·己〢一𠃍人
룐	yyaz·己〢一𠃊
룑	yyza·己〢一𠃊ㅈ
룒	yyzs·己〢一𠃊ㅎ
룓	yyah·己〢一匸
룔	yyay·己〢一己
룕	yyyx·己〢一己𠃍
룖	yyyj·己〢一己口
룗	yyyk·己〢一己ㅂ
룘	yyyo·己〢一己人
룙	yyyh·己〢一己ㅌ
룚	yyya·己〢一己ㅍ
룛	yyys·己〢一己ㅎ
룜	yyaj·己〢一口
룝	yyak·己〢一ㅂ
룞	yyko·己〢一ㅂ人
룟	yyao·己〢一人
룠	yyao·己〢一ㅆ
룡	yyaj·己〢一㇣
룢	yyaa·己〢一ㅈ
룣	yyso·己〢一亠人
룤	yyxa·己〢一𠃍一
룥	yyah·己〢一ㅌ
룦	yyaa·己〢一ㅍ
룧	yyas·己〢一ㅎ
루	yyai·己丅
룩	yyax·己丅𠃍
룪	yyxx·己丅𠃍𠃍
룫	yyxo·己丅𠃍人
룬	yyaz·己丅𠃊
룭	yyza·己丅𠃊ㅈ
룮	yyzs·己丅𠃊ㅎ
룯	yyah·己丅匸
룰	yyay·己丅己
룱	yyyx·己丅己𠃍
룲	yyyj·己丅己口
룳	yyyk·己丅己ㅂ
룴	yyyo·己丅己人
룵	yyyh·己丅己ㅌ
룶	yyya·己丅己ㅍ
룷	yyys·己丅己ㅎ
룸	yyaj·己丅口
룹	yyak·己丅ㅂ
룺	yyko·己丅ㅂ人
룻	yyao·己丅人
룼	yyao·己丅ㅆ
룽	yyaj·己丅㇣
룾	yyaa·己丅ㅈ
룿	yyso·己丅亠人
뤀	yyxa·己丅𠃍一
뤁	yyah·己丅ㅌ
뤂	yyaa·己丅ㅍ
뤃	yyas·己丅ㅎ
뤄	yyai·己丅一丨
뤅	yyix·己丅一丨𠃍
뤆	yyxx·己丅一丨𠃍𠃍
뤇	yyxo·己丅一丨𠃍人
뤈	yyiz·己丅一丨𠃊
뤉	yyza·己丅一丨𠃊ㅈ
뤊	yyzs·己丅一丨𠃊ㅎ
뤋	yyih·己丅一丨匸
뤌	yyiy·己丅一丨己
뤍	yyyx·己丅一丨己𠃍
뤎	yyyj·己丅一丨己口
뤏	yyyk·己丅一丨己ㅂ
뤐	yyyo·己丅一丨己人
뤑	yyyh·己丅一丨己ㅌ
뤒	yyya·己丅一丨己ㅍ
뤓	yyys·己丅一丨己ㅎ
뤔	yyij·己丅一丨口
뤕	yyik·己丅一丨ㅂ
뤖	yyko·己丅一丨ㅂ人
뤗	yyio·己丅一丨人
뤘	yyio·己丅一丨ㅆ
뤙	yyij·己丅一丨㇣
뤚	yyia·己丅一丨ㅈ
뤛	yyso·己丅一丨亠人
뤜	yyxa·己丅一丨𠃍一
뤝	yyih·己丅一丨ㅌ
뤞	yyia·己丅一丨ㅍ
뤟	yyis·己丅一丨ㅎ
뤠	yyak·己丅一〢
뤡	yykx·己丅一〢𠃍
뤢	yyxx·己丅一〢𠃍𠃍
뤣	yyxo·己丅一〢𠃍人
뤤	yykz·己丅一〢𠃊
뤥	yyza·己丅一〢𠃊ㅈ
뤦	yyzs·己丅一〢𠃊ㅎ
뤧	yykh·己丅一〢匸
뤨	yyky·己丅一〢己
뤩	yyyx·己丅一〢己𠃍
뤪	yyyj·己丅一〢己口
뤫	yyyk·己丅一〢己ㅂ
뤬	yyyo·己丅一〢己人
뤭	yyyh·己丅一〢己ㅌ
뤮	yyya·己丅一〢己ㅍ
뤯	yyys·己丅一〢己ㅎ
뤰	yykj·己丅一〢口
뤱	yykk·己丅一〢ㅂ
